booking_id,hotel_name,hotel_type,arrival_date,nights_stayed,room_type,adults,children,booking_channel,lead_time_days,adr_per_night_inr,total_revenue_inr,cancellation_status,country_of_guest,special_requests,meal_plan
BKG628975,Taj Mahal Palace Mumbai,4 Star,2022-01-01,10,Family Room,1,0.0,Travel Agent,102,17411,174110,No,UAE,2.0,Full Board
BKG496103,Treebo Trend City Inn,4-Star,01-01-2022,3,Family Room,1,0.0,Booking.com,348,2029,6087,Yes,India,2.0,Breakfast Only
BKG234115,Radisson Blu Pune,3star,01/01/2022,9,Super Deluxe,3,2.0,corporate,270,6307,56763,Yes,Nepal,0.0,CP
BKG511231,Hyatt Regency Chennai,Resort,2022-01-01,3,Super Deluxe,2,1.0,Booking.com,106,28565,85695,No,Sri Lanka,0.0,CP
BKG379933,Lemon Tree Lucknow,4-Star,02-01-2022,6,Presidential Suite,2,0.0,Travel Agent,71,1902,11412,No,India,1.0,AP
BKG681072,FabHotel Prime Central,resort,02/01/2022,1,Studio Room,1,0.0,MakeMyTrip,188,572,572,No,Singapore,3.0,Full Board
BKG368259,ITC Maurya Delhi,boutique,2022-01-02,12,Suite,3,1.0,Booking.com,20,11395,136740,No,Canada,3.0,All Inclusive
BKG653109,Lemon Tree Lucknow,Boutique,03-01-2022,6,Super Deluxe,1,1.0,Direct Website,102,2486,14916,No,Nepal,4.0,
BKG122879,Hyatt Regency Chennai,3 Star,03/01/2022,4,Executive Room,2,0.0,Booking.com,121,27194,108776,Yes,India,1.0,Full Board
BKG479321,Hilton Garden Inn,4 Star,2022-01-03,8,Presidential Suite,2,,Travel Agent,214,5717,45736,Yes,Bangladesh,3.0,All Inclusive
BKG809002,Marriott Hyderabad,budget,03-01-2022,13,Double Room,3,1.0,Yatra,330,11044,143572,No,UAE,2.0,Half Board
BKG291852,Park Inn by Radisson,3 Star,04/01/2022,11,Presidential Suite,3,1.0,travel agent,87,7126,78386,No,Sri Lanka,2.0,AP
BKG149157,ITC Maurya Delhi,4-Star,2022-01-04,9,Studio Room,2,1.0,MakeMyTrip,99,29057,261513,No,India,3.0,CP
BKG348341,Treebo Trend City Inn,5-Star,04-01-2022,4,Twin Room,2,1.0,Corporate Booking,359,2148,8592,No,,2.0,No Meal
BKG788077,Courtyard by Marriott,5 Star,05/01/2022,10,Suite,2,,Goibibo,151,17990,179900,No,India,2.0,No Meal
BKG684550,Lemon Tree Lucknow,Budget,2022-01-05,12,Twin Room,1,0.0,Agoda,130,920,11040,No,Canada,4.0,No Meal
BKG665259,ITC Maurya Delhi,Five Star,05-01-2022,10,Twin Room,2,2.0,Goibibo,149,18767,187670,Yes,UK,2.0,Half Board
BKG987578,The Leela Goa,5-Star,05/01/2022,6,Executive Room,2,2.0,Walk-in,308,24528,147168,No,Japan,3.0,AP
BKG826400,Novotel Kolkata,BUDGET,2022-01-06,1,Standard,3,2.0,OTA - MakeMyTrip,257,7466,7466,Yes,India,0.0,
BKG745823,Park Inn by Radisson,Budget,06-01-2022,4,Double Room,2,0.0,Travel Agent,343,4468,17872,No,UAE,2.0,AP
BKG305257,OYO Rooms 12345,4-Star,06/01/2022,7,Suite,2,0.0,Goibibo,293,2456,17192,Yes,UK,3.0,
BKG192384,Treebo Trend City Inn,boutique,2022-01-07,12,Standard,3,0.0,Booking.com,191,2283,27396,Yes,USA,2.0,CP
BKG819183,Holiday Inn Jaipur,BUDGET,07-01-2022,1,Standard,2,2.0,direct website,276,5471,5471,No,India,1.0,AP
BKG517958,ITC Maurya Delhi,4 Star,07/01/2022,8,Presidential Suite,3,0.0,Direct Website,160,29408,235264,Yes,UK,,All Inclusive
BKG574427,Novotel Kolkata,Five Star,2022-01-07,12,Executive Room,3,2.0,Corporate Booking,313,3092,37104,No,Sri Lanka,0.0,MAP
BKG598803,OYO Rooms 12345,budget,08-01-2022,10,Executive Room,3,1.0,Travel Agent,21,1146,11460,No,Germany,2.0,MAP
BKG736741,Hyatt Regency Chennai,boutique,08/01/2022,12,Deluxe,3,0.0,direct website,252,12414,148968,Yes,,3.0,Half Board
BKG462421,Lemon Tree Lucknow,3-Star,2022-01-08,11,Deluxe,3,1.0,Corporate Booking,235,777,8547,Yes,UK,,All Inclusive
BKG388664,Ginger Hotel,Resort,09-01-2022,6,Super Deluxe,3,2.0,OTA - MakeMyTrip,344,632,3792,Yes,UK,2.0,MAP
BKG901265,The Fern Residency,budget,09/01/2022,5,Executive Room,3,0.0,travel agent,48,3613,18065,No,UAE,1.0,Half Board
BKG806707,Novotel Kolkata,Five Star,2022-01-09,10,Double Room,2,0.0,Direct Website,58,7511,75110,No,USA,,Half Board
BKG685763,Hyatt Regency Chennai,3-Star,09-01-2022,11,Family Room,1,1.0,Travel Agent,169,29326,322586,Yes,India,4.0,BB
BKG894575,Lemon Tree Lucknow,Resort,10/01/2022,9,Executive Room,2,2.0,corporate,187,625,5625,No,India,2.0,CP
BKG975904,Treebo Trend City Inn,Budget,2022-01-10,2,Double Room,3,2.0,direct website,270,844,1688,Yes,Nepal,,
